"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"338","Risk of Rain","Nov 8, 2013","$9.99","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:20 (00:13)","Hopoo Games","Chucklefish"
"372","The Ship: Murder Party","Jul 11, 2006","$9.99","N/A (N/A/76%)","1,000,000 .. 2,000,000","00:00 (00:00)","Outerlight Ltd.","Blazing Griffin"
"373","Vindictus","Jun 22, 2012","Free","N/A (N/A/76%)","1,000,000 .. 2,000,000","00:00 (00:00)","devCAT","NEXON Korea Corp. & NEXON America Inc."
"374","Secret World Legends","Jul 31, 2017","Free","N/A (N/A/76%)","1,000,000 .. 2,000,000","00:00 (00:00)","Funcom","Funcom"
"375","WAKFU","Sep 18, 2014","Free","N/A (N/A/76%)","1,000,000 .. 2,000,000","00:47 (00:15)","Ankama Studio","Ankama Games"
"376","Shadowrun Returns","Jul 25, 2013","$9.99","N/A (N/A/76%)","1,000,000 .. 2,000,000","00:00 (00:00)","Harebrained Schemes","Paradox Interactive"
"403","Tropico 5","May 23, 2014","$9.99","N/A (N/A/75%)","1,000,000 .. 2,000,000","08:16 (05:30)","Haemimont Games","Kalypso Media Digital"
"404","Armello","Sep 1, 2015","$19.99","N/A (N/A/75%)","1,000,000 .. 2,000,000","00:00 (00:00)","League of Geeks","League of Geeks"
"405","S.T.A.L.K.E.R.: Clear Sky","Sep 15, 2008","$2.49","N/A (N/A/75%)","1,000,000 .. 2,000,000","00:00 (00:00)","GSC Game World","GSC World Publishing"
"435","The Red Solstice","Jul 9, 2015","$9.99","N/A (N/A/74%)","1,000,000 .. 2,000,000","00:00 (00:00)","Ironward","Ironward"
"437","Eador. Masters of the Broken World","Apr 19, 2013","$19.99","N/A (N/A/74%)","1,000,000 .. 2,000,000","00:00 (00:00)","Snowbird Games","Snowbird Games"
"474","Pathfinder: Kingmaker - Enhanced Plus Edition","Sep 25, 2018","$7.99","N/A (N/A/73%)","1,000,000 .. 2,000,000","04:17 (02:51)","Owlcat Games","Prime Matter"
"475","Medieval Dynasty","Sep 23, 2021","$34.99","N/A (N/A/73%)","1,000,000 .. 2,000,000","01:48 (01:11)","Render Cube","Toplitz Productions"
"476","DRAGON BALL Z: KAKAROT","Jan 16, 2020","$59.99","N/A (N/A/73%)","1,000,000 .. 2,000,000","00:33 (00:32)","CyberConnect2 Co. Ltd.","BANDAI NAMCO Entertainment"
"477","My Time At Portia","Jan 15, 2019","$29.99","N/A (N/A/73%)","1,000,000 .. 2,000,000","00:01 (00:00)","Pathea Games","Team17"
"498","Champions Online","Sep 1, 2009","Free","N/A (N/A/72%)","1,000,000 .. 2,000,000","00:00 (00:00)","Cryptic Studios","Perfect World Entertainment"
"504","The Surge","May 15, 2017","$14.99","N/A (N/A/72%)","1,000,000 .. 2,000,000","00:00 (00:00)","Deck13","Focus Entertainment"
"506","Dark Messiah of Might & Magic","Oct 25, 2006","$9.99","N/A (N/A/72%)","1,000,000 .. 2,000,000","00:00 (00:00)","Arkane Studios","Ubisoft"
"507","Mass Effect: Andromeda Deluxe Edition","Jun 11, 2020","$29.99","N/A (N/A/72%)","1,000,000 .. 2,000,000","27:06 (35:02)","BioWare","Electronic Arts"
"513","Portal Knights","May 18, 2017","$19.99","N/A (N/A/72%)","1,000,000 .. 2,000,000","00:00 (00:00)","Keen Games","505 Games"
"514","Unheard","Mar 28, 2019","$6.99","N/A (N/A/72%)","1,000,000 .. 2,000,000","00:00 (00:00)","NEXT Studios","NEXT Studios, bilibili"
"528","Fallen Earth Free2Play","Oct 12, 2011","Free","N/A (N/A/71%)","1,000,000 .. 2,000,000","00:01 (00:00)","Little Orbit","Little Orbit"
"563","Dungeons 2","Apr 24, 2015","$19.99","N/A (N/A/70%)","1,000,000 .. 2,000,000","00:00 (00:00)","Realmforge Studios","Kalypso Media Digital"
"566","Darksiders III","Nov 27, 2018","$39.99","N/A (N/A/70%)","1,000,000 .. 2,000,000","00:00 (00:00)","Gunfire Games","THQ Nordic"
"581","Risen 2: Dark Waters","Apr 26, 2012","$9.99","N/A (N/A/69%)","1,000,000 .. 2,000,000","00:00 (00:00)","Piranha Bytes","THQ Nordic"
"583","Graveyard Keeper","Aug 15, 2018","$19.99","N/A (N/A/69%)","1,000,000 .. 2,000,000","00:22 (00:07)","Lazy Bear Games","tinyBuild"
"584","State of Decay 2: Juggernaut Edition","Mar 13, 2020","$29.99","N/A (N/A/69%)","1,000,000 .. 2,000,000","02:54 (02:38)","Undead Labs","Xbox Game Studios"
"622","Mount & Blade: With Fire & Sword","May 3, 2011","$9.99","N/A (N/A/68%)","1,000,000 .. 2,000,000","09:44 (03:14)","TaleWorlds Entertainment","TaleWorlds Entertainment"
"632","Warhammer 40,000: Inquisitor - Martyr","Jun 5, 2018","$49.99","N/A (N/A/67%)","1,000,000 .. 2,000,000","05:20 (10:56)","NeocoreGames","NeocoreGames"
"664","Lord of the Rings: War in the North","Nov 1, 2011","N/A","N/A (N/A/66%)","1,000,000 .. 2,000,000","00:00 (00:00)","Snowblind Studios","Warner Bros. Interactive Entertainment"
"671","Prime World","Mar 31, 2014","N/A","N/A (N/A/65%)","1,000,000 .. 2,000,000","00:00 (00:00)","Nival","Nival"
"674","Two Worlds Epic Edition","Apr 30, 2009","$9.99","N/A (N/A/65%)","1,000,000 .. 2,000,000","00:00 (00:00)","Reality Pump Studios","Topware Interactive"
"676","Heroes of Might & Magic III - HD Edition","Jan 29, 2015","$14.99","N/A (N/A/65%)","1,000,000 .. 2,000,000","00:30 (00:10)","Dotemu","Ubisoft Entertainment"
"701","Gothic 3","Oct 13, 2006","$9.99","N/A (N/A/63%)","1,000,000 .. 2,000,000","00:00 (00:00)","Piranha Bytes","THQ Nordic"
"738","How to Survive","Oct 23, 2013","$14.99","N/A (N/A/60%)","1,000,000 .. 2,000,000","00:00 (00:00)","Eko Software","505 Games"
"744","Murdered: Soul Suspect","Jun 3, 2014","$19.99","N/A (N/A/59%)","1,000,000 .. 2,000,000","00:00 (00:00)","Airtight Games","Square Enix"
"809","Dragons and Titans","Mar 12, 2014","N/A","N/A (N/A/43%)","1,000,000 .. 2,000,000","00:00 (00:00)","Wyrmbyte","Versus Evil"
"1934","Guns and Robots","Aug 4, 2014","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Masthead Studios Ltd","Masthead Studios Ltd, Thegamewallstudios, Gamigo AG"
"1965","The SKIES - BETA","Apr 16, 2016","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Eforb","Eforb"
"1968","Ragnarok Online 2","May 1, 2013","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Gravity, Inc.","Gravity Interactive"
"2002","School of Dragons","Dec 4, 2014","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","JumpStart Games, Inc.","JumpStart Games, Inc."
"2007","Shadow Arena","May 21, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Pearl Abyss","Pearl Abyss"
"2009","MOBIUS FINAL FANTASY","Feb 5, 2017","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Square Enix","Square Enix"
"2014","Panzar","Apr 12, 2013","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Panzar Studio","OVALIS INVESTMENTS LIMITED"
"2018","Strife","May 22, 2015","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","S2 Games","S2 Games"
"2023","Dungeons & Dragons Online","Jun 25, 2012","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Standing Stone Games, LLC","Standing Stone Games, LLC"
"2033","Realm Grinder","Jun 15, 2017","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Divine Games","Kongregate"
"2036","Digimon Masters Online","Nov 3, 2016","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:15 (00:05)","Move Games Co., Ltd.","MOVE ON USA CO."
"2039","ARK: Survival Of The Fittest","Aug 29, 2017","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:11 (00:03)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard"
"2041","Elsword","Jul 2, 2014","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","KOG","KOG Games"
"2042","Soulworker","Oct 2, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Lion Games Co., Ltd.","Lion Games Co., Ltd."
"2044","Riders of Icarus","Jul 6, 2016","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:05 (00:01)","WeMade, VALOFE","VALOFE"
"2045","MapleStory","Aug 9, 2012","Free","N/A (N/A)","1,000,000 .. 2,000,000","34:53 (23:20)","Nexon","Nexon America Inc."
"2049","SEGA Mega Drive and Genesis Classics","Jun 1, 2010","$24.79","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","D3T Limited","SEGA"
"2051","封灵档案","Mar 2021","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:01 (00:00)","（Hong Kong）GKD","（Hong Kong）GKD"
"2055","Shop Titans","May 5, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","16:22 (05:27)","Kabam Games, Inc.","Kabam Games, Inc."
"2058","Infestation: Survivor Stories 2020","Jul 1, 1989","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Fredaikis AB","OP Productions LLC"
"2059","Old School RuneScape","Feb 22, 2013","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:18 (00:06)","Jagex Ltd","Jagex Ltd"
"2061","Spellbreak","Dec 15, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:14 (00:08)","Proletariat, Inc.","Proletariat, Inc."
"2063","Action Taimanin","Oct 5, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","LiLith","Infini-Brain inc."
"2070","RuneScape","Oct 14, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","33:45 (54:41)","Jagex Ltd","Jagex Ltd"
"2074","Shakes and Fidget","Feb 24, 2016","Free","N/A (N/A)","1,000,000 .. 2,000,000","01:01 (01:01)","Playa Games GmbH","Playa Games GmbH"
"2744","BROKE PROTOCOL: Online City RPG","Aug 26, 2017","$4.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Cylinder Studios","Cylinder Studios"
"2871","Swords of Legends Online","Jul 9, 2021","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Wangyuan Shengtang Entertainment Technology CO., 上海烛龙信息科技有限公司","Gameforge 4D GmbH"
"2932","Tiny Tina's Wonderlands","Jun 23, 2022","$59.99","N/A (N/A)","1,000,000 .. 2,000,000","07:32 (09:01)","Gearbox Software","2K"
"2969","Gauntlet Slayer Edition","Sep 23, 2014","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","01:17 (00:25)","Arrowhead Game Studios","WB Games"
"2991","Fable Anniversary","Sep 12, 2014","$34.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Lionhead Studios","Xbox Game Studios"
"3002","Darksiders Warmastered Edition","Nov 29, 2016","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","11:50 (03:56)","KAIKO, Vigil Games","THQ Nordic"
"3009","Tribes of Midgard","Jul 27, 2021","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","03:22 (01:07)","Norsfell","Gearbox Publishing"
"3016","BioShock 2 Remastered","Sep 15, 2016","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","07:04 (03:58)","2K Marin, 2K China, Digital Extremes, 2K Australia, Blind Squirrel, Feral Interactive (Mac)","2K, Feral Interactive (Mac)"
"3019","Borderlands Game of the Year Enhanced","Apr 3, 2019","$29.99","N/A (N/A)","1,000,000 .. 2,000,000","25:05 (08:21)","Gearbox Software, Blind Squirrel Games","2K"
"3027","Dust: An Elysian Tail","May 24, 2013","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Humble Hearts LLC","Xbox Game Studios"
"3030","Stoneshard","Feb 6, 2020","$24.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Ink Stains Games","HypeTrain Digital"
"3036","ATLAS","Dec 22, 2018","$29.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Grapeshot Games, Instinct Games","Grapeshot Games"
"3038","Chinese Parents","Sep 29, 2018","$9.99","N/A (N/A)","1,000,000 .. 2,000,000","01:02 (00:20)","墨鱼玩游戏","墨鱼玩游戏"
"3039","FINAL FANTASY VII","Jul 4, 2013","$11.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Square Enix","Square Enix"
"3042","嗜血印 Bloody Spell","Jan 26, 2022","$9.24","N/A (N/A)","1,000,000 .. 2,000,000","00:54 (01:24)","艺龙游戏","艺龙游戏"
"3045","STAR WARS - Knights of the Old Republic","Nov 19, 2003","$9.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","BioWare, Aspyr (Mac)","LucasArts, Aspyr (Mac), Disney, Lucasfilm"
"3047","HuniePop","Jan 19, 2015","$9.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","HuniePot","HuniePot"
"3049","Loop Hero","Mar 4, 2021","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","00:15 (00:15)","Four Quarters","Devolver Digital"
"3052","Town of Salem","Dec 15, 2014","$4.99","N/A (N/A)","1,000,000 .. 2,000,000","01:22 (01:13)","BlankMediaGames","BlankMediaGames"
"3054","Blade and Sorcery","Dec 11, 2018","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:38 (00:35)","WarpFrog","WarpFrog"
"3055","FINAL FANTASY XV WINDOWS EDITION","Mar 6, 2018","$34.99","N/A (N/A)","1,000,000 .. 2,000,000","02:18 (01:31)","Square Enix","Square Enix"
"3057","OUTRIDERS","Apr 1, 2021","$39.99","N/A (N/A)","1,000,000 .. 2,000,000","00:09 (00:03)","People Can Fly","Square Enix"
"3059","Noita","Oct 15, 2020","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","01:23 (01:20)","Nolla Games","Nolla Games"
"3067","Assassin's Creed Origins","Oct 26, 2017","$13.99","N/A (N/A)","1,000,000 .. 2,000,000","03:37 (05:31)","Ubisoft Montreal","Ubisoft"
"3068","Horizon Zero Dawn Complete Edition","Aug 7, 2020","$49.99","N/A (N/A)","1,000,000 .. 2,000,000","07:03 (11:16)","Guerrilla","PlayStation PC LLC"
"4005","Heart of a Warrior","Feb 1, 2022","$10.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Techworld Communication","Techworld Communication"
"4082","Sabre Team","Jan 1, 1992","$6.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Krisalis Software","Ziggurat"
"10096","Data Hacker: Initiation","Jul 21, 2014","$0.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","New Reality Games","New Reality Games"
"10655","Brigand: Oaxaca","Jul 11, 2017","$5.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Brian Lancaster, Laughing Coyote Software","Brian Lancaster, Laughing Coyote Software"
"14","System Shock 2","Aug 11, 1999","$9.99","N/A (N/A/92%)","500,000 .. 1,000,000","00:00 (00:00)","Nightdive Studios, Irrational Games, Looking Glass Studios","Nightdive Studios"
"17","Dragon Age: Origins","Nov 6, 2009","$29.99","N/A (N/A/91%)","500,000 .. 1,000,000","00:29 (00:09)","BioWare","Electronic Arts"
"18","Fallout 3","Oct 28, 2008","$9.99","N/A (N/A/91%)","500,000 .. 1,000,000","00:00 (00:00)","Bethesda Game Studios","Bethesda Softworks"
"25","Guild Wars 2","Aug 23, 2022","Free","N/A (N/A/90%)","500,000 .. 1,000,000","03:43 (02:13)","ArenaNet®","NCSOFT"
"29","Mass Effect 3 N7 Digital Deluxe Edition (2012)","Mar 6, 2012","$7.49","N/A (N/A/89%)","500,000 .. 1,000,000","00:00 (00:00)","BioWare","Electronic Arts"
"32","Nuclear Throne","Dec 5, 2015","$11.99","N/A (N/A/89%)","500,000 .. 1,000,000","00:00 (00:00)","Vlambeer","Vlambeer"
"39","Pillars of Eternity II: Deadfire","May 8, 2018","$39.99","N/A (N/A/88%)","500,000 .. 1,000,000","00:00 (00:00)","Obsidian Entertainment","Versus Evil, Obsidian Entertainment"
"46","Shadowrun: Dragonfall - Director's Cut","Sep 18, 2014","$14.99","N/A (N/A/87%)","500,000 .. 1,000,000","00:00 (00:00)","Harebrained Schemes","Paradox Interactive"
"47","Wasteland 2: Director's Cut","Sep 18, 2014","$7.49","N/A (N/A/87%)","500,000 .. 1,000,000","00:00 (00:00)","inXile Entertainment","inXile Entertainment"
"51","OMORI","Dec 25, 2020","$19.99","N/A (N/A/87%)","500,000 .. 1,000,000","00:00 (00:00)","OMOCAT, LLC","OMOCAT, LLC"
"59","Dungeon Siege","Apr 5, 2002","$6.99","N/A (N/A/86%)","500,000 .. 1,000,000","00:00 (00:00)","Gas Powered Games","Square Enix"
"66","Nioh 2 – The Complete Edition","Feb 5, 2021","$49.99","N/A (N/A/86%)","500,000 .. 1,000,000","01:32 (00:56)","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
"67","Mass Effect Legendary Edition","May 14, 2021","$59.99","N/A (N/A/86%)","500,000 .. 1,000,000","32:57 (39:35)","BioWare","Electronic Arts"
"81","Dragon Age Inquisition","Nov 18, 2014","$7.99","N/A (N/A/85%)","500,000 .. 1,000,000","04:38 (03:05)","BioWare","Electronic Arts"
"83","Thronebreaker: The Witcher Tales","Nov 9, 2018","$19.99","N/A (N/A/85%)","500,000 .. 1,000,000","07:43 (04:39)","CD PROJEKT RED","CD PROJEKT RED"
"103","FINAL FANTASY IX","Apr 14, 2016","$20.99","N/A (N/A/84%)","500,000 .. 1,000,000","00:53 (00:17)","Square Enix","Square Enix"
"104","Hyper Light Drifter","Mar 31, 2016","$19.99","N/A (N/A/84%)","500,000 .. 1,000,000","00:01 (00:00)","Heart Machine","Heart Machine"
"105","Salt and Sanctuary","May 17, 2016","$17.99","N/A (N/A/84%)","500,000 .. 1,000,000","00:14 (00:04)","Ska Studios","Ska Studios"
"110","Fallout: New Vegas","Oct 19, 2010","$9.99","100% (95%/84%)","500,000 .. 1,000,000","11:44 (10:39)","Obsidian Entertainment","Bethesda Softworks"
"119","EverQuest II","Dec 7, 2011","Free","N/A (N/A/83%)","500,000 .. 1,000,000","00:00 (00:00)","Darkpaw Games","Daybreak Game Company"
"125","Fable - The Lost Chapters","Dec 19, 2011","$9.99","N/A (N/A/83%)","500,000 .. 1,000,000","00:01 (00:00)","Lionhead Studios","Xbox Game Studios"
"147","King's Bounty: Armored Princess","Nov 19, 2009","$9.99","N/A (N/A/82%)","500,000 .. 1,000,000","00:00 (00:00)","Katauri Interactive","Fulqrum Publishing"
"156","Legend of Grimrock","Apr 11, 2012","$14.99","N/A (N/A/82%)","500,000 .. 1,000,000","00:00 (00:00)","Almost Human Games","Almost Human Games"
"158","Recettear: An Item Shop's Tale","Sep 10, 2010","$19.99","N/A (N/A/82%)","500,000 .. 1,000,000","00:00 (00:00)","EasyGameStation","Carpe Fulgur LLC"
"159","Pyre","Jul 25, 2017","$19.99","N/A (N/A/82%)","500,000 .. 1,000,000","00:00 (00:00)","Supergiant Games","Supergiant Games"
"166","The Outer Worlds","Oct 23, 2020","$59.99","N/A (N/A/82%)","500,000 .. 1,000,000","00:00 (00:00)","Obsidian Entertainment","Private Division"
"178","Divine Divinity","Sep 20, 2002","$5.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:15 (00:05)","Larian Studios","Larian Studios"
"184","Shadowrun: Hong Kong - Extended Edition","Aug 20, 2015","$19.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Harebrained Schemes","Paradox Interactive"
"185","Suzerain","Dec 4, 2020","$14.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Torpor Games","Fellow Traveller"
"186","SteamWorld Heist","Jun 7, 2016","$14.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Image & Form Games","Image & Form Games"
"189","Overlord","Jun 26, 2007","$4.99","N/A (N/A/81%)","500,000 .. 1,000,000","04:13 (01:24)","Triumph Studios","Codemasters, Electronic Arts"
"190","Faeria","Mar 8, 2017","$19.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Abrakam Entertainment SA","Versus Evil"
"192","The Elder Scrolls V: Skyrim VR","Apr 2, 2018","$59.99","N/A (N/A/81%)","500,000 .. 1,000,000","12:22 (09:42)","Bethesda Game Studios","Bethesda Softworks"
"194","Ni no Kuni II: Revenant Kingdom","Mar 23, 2018","$59.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:01 (00:00)","Level-5","BANDAI NAMCO Entertainment"
"195","Gothic 1","Mar 15, 2001","$9.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Piranha Bytes","THQ Nordic"
"214","Dungeon Siege II","Aug 16, 2005","$6.99","N/A (N/A/80%)","500,000 .. 1,000,000","00:00 (00:00)","Gas Powered Games","Square Enix"
"232","Monster Sanctuary","Dec 8, 2020","$10.19","N/A (N/A/80%)","500,000 .. 1,000,000","11:58 (03:59)","moi rai games","Team17"
"236","Tyranny","Nov 10, 2016","$29.99","N/A (N/A/80%)","500,000 .. 1,000,000","35:07 (11:42)","Obsidian Entertainment","Paradox Interactive"
"238","The Banner Saga","Jan 14, 2014","$7.99","N/A (N/A/80%)","500,000 .. 1,000,000","00:00 (00:00)","Stoic","Stoic Studio"
"239","Yakuza Kiwami","Feb 19, 2019","$19.99","N/A (N/A/80%)","500,000 .. 1,000,000","00:00 (00:00)","SEGA","SEGA"
"240","Darkwood","Aug 17, 2017","$14.99","N/A (N/A/80%)","500,000 .. 1,000,000","00:00 (00:00)","Acid Wizard Studio","Acid Wizard Studio"
"241","Tales of Berseria","Jan 26, 2017","$49.99","N/A (N/A/80%)","500,000 .. 1,000,000","00:00 (00:00)","BANDAI NAMCO Studios Inc.","BANDAI NAMCO Entertainment"
"242","Battle Brothers","Mar 24, 2017","$29.99","N/A (N/A/80%)","500,000 .. 1,000,000","00:00 (00:00)","Overhype Studios","Overhype Studios"
"255","Ragnarok Online","Jun 1, 2003","Free","N/A (N/A/79%)","500,000 .. 1,000,000","00:00 (00:00)","Gravity Interactive","Gravity Interactive"
"260","The Incredible Adventures of Van Helsing: Final Cut","Nov 6, 2015","$44.99","N/A (N/A/79%)","500,000 .. 1,000,000","00:00 (00:00)","NeocoreGames","NeocoreGames"
"265","Cat Quest","Aug 8, 2017","$12.99","N/A (N/A/79%)","500,000 .. 1,000,000","00:00 (00:00)","The Gentlebros","PQube"
"266","Gothic II: Gold Edition","Nov 29, 2005","$9.99","N/A (N/A/79%)","500,000 .. 1,000,000","43:16 (14:25)","Piranha Bytes","THQ Nordic"
"267","State of Decay","Nov 5, 2013","N/A","N/A (N/A/79%)","500,000 .. 1,000,000","00:00 (00:00)","Undead Labs","Xbox Game Studios"
"301","Dungeon Fighter Online","Aug 9, 2016","Free","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","Neople","Neople"
"303","Fallout 4 VR","Dec 11, 2017","$59.99","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","Bethesda Game Studios","Bethesda Softworks"
"304","Wuppo: Definitive Edition","Sep 29, 2016","$14.99","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","Knuist & Perzik","SOEDESCO"
"309","Hand of Fate","Feb 17, 2015","$3.99","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","Defiant Development","Defiant Development"
"310","SCARLET NEXUS","Jun 24, 2021","$59.99","N/A (N/A/78%)","500,000 .. 1,000,000","05:23 (04:52)","BANDAI NAMCO Studios Inc.","BANDAI NAMCO Entertainment"
